date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
5/5/2018,25,13,0,11.6,5,60,1:19 AM,10:49 AM,6:31 AM,8:52 PM,5,19,19,19,10,24,40,0,1017,25,10,109,6,83706,0
5/6/2018,25,13,0,11.6,5,53,2:03 AM,11:43 AM,6:30 AM,8:53 PM,6,19,19,19,15,6,42,0,1013,25,10,209,10,83706,0
5/7/2018,22,10,0,11.6,5,46,2:42 AM,12:39 PM,6:29 AM,8:54 PM,5,17,17,17,16,4,49,0,1018,22,10,330,10,83706,0
5/8/2018,26,11,0,10.5,5,39,3:17 AM,1:38 PM,6:28 AM,8:55 PM,5,19,19,19,8,15,43,0,1017,26,10,92,5,83706,0
5/9/2018,24,13,0,11.6,5,31,3:49 AM,2:38 PM,6:26 AM,8:57 PM,8,19,19,19,15,16,52,1,1012,24,10,273,9,83706,1
5/10/2018,18,9,0,11.6,4,24,4:18 AM,3:41 PM,6:25 AM,8:58 PM,6,13,14,13,22,21,59,0.2,1012,18,10,319,16,83706,1
5/11/2018,14,5,0,9.4,3,17,4:46 AM,4:46 PM,6:24 AM,8:59 PM,2,7,9,7,29,38,60,0.3,1013,14,10,321,21,83706,1
5/12/2018,16,7,0,13.4,4,9,5:15 AM,5:53 PM,6:23 AM,9:00 PM,4,10,11,10,15,68,62,0,1011,16,10,262,10,83706,0
5/13/2018,17,9,0,12.4,3,2,5:44 AM,7:02 PM,6:22 AM,9:01 PM,7,11,12,11,11,62,72,2.2,1014,17,10,187,7,83706,1
5/14/2018,22,8,0,14.5,5,0,6:16 AM,8:13 PM,6:21 AM,9:02 PM,4,15,16,15,11,5,52,0,1016,22,10,196,7,83706,0
5/15/2018,22,13,0,14.5,5,0,6:52 AM,9:26 PM,6:19 AM,9:03 PM,6,17,18,17,15,13,47,0.3,1013,22,10,118,10,83706,1
5/16/2018,22,12,0,14.5,5,5,7:35 AM,10:37 PM,6:18 AM,9:04 PM,6,17,17,17,15,19,50,0,1012,22,10,169,10,83706,0
5/17/2018,19,10,0,14.5,4,12,8:24 AM,11:45 PM,6:17 AM,9:05 PM,8,15,15,15,14,30,66,2.3,1011,19,10,326,9,83706,1
5/18/2018,21,12,0,14.5,4,19,9:22 AM,No moonset,6:16 AM,9:06 PM,9,16,16,16,14,29,64,2.5,1011,21,9,277,9,83706,1
5/19/2018,23,10,0,14.5,5,27,10:26 AM,12:45 AM,6:16 AM,9:08 PM,5,17,17,17,9,5,49,0,1012,23,10,162,6,83706,0
